ADDRESS,COMM_CODE,COMM_NAME,ASSESSMENT_CLASS,ASSESSMENT_CLASS_DESCRIPTION,YEAR_OF_CONSTRUCTION,PROPERTY_TYPE,LAT,LON,LAND_SIZE_SM,LAND_SIZE_SF,ASSESSED_VALUE
10 SILVERADO PLAINS CM SW,SVO,SILVERADO,RE,Residential,2012,LI,50.8789773,-114.0861733,342.7,3688.0,688000
95 CORAL SPRINGS CI NE,COR,CORAL SPRINGS,RE,Residential,1995,LI,51.1096783,-113.9341871,305.5,3288.0,575500
14792 DEER RUN DR SE,DRN,DEER RUN,RE,Residential,1980,LI,50.9199363,-113.9987834,547.2,5890.0,667000
3106 210 15 AV SE,BLN,BELTLINE,RE,Residential,2008,LI,51.0390499,-114.0605393,863.0,9290.0,321500
513 AUBURN BAY CI SE,AUB,AUBURN BAY,RE,Residential,2012,LI,50.8850154,-113.9521989,933.3,10046.0,343000
20 BERNARD RD NW,BED,BEDDINGTON HEIGHTS,RE,Residential,1981,LI,51.1359649,-114.0786441,409.4,4407.0,495000
1838 46 ST SE,FLN,FOREST LAWN,RE,Residential,1975,LI,51.0364771,-113.966521,312.7,3366.0,431500
103 60 PROMENADE WY SE,MCT,MCKENZIE TOWNE,RE,Residential,1999,LI,50.913795,-113.9655458,3134.9,33745.0,309000
73 SHERVIEW PT NW,SHW,SHERWOOD,RE,Residential,2017,LI,51.1631784,-114.153555,829.0,8924.0,950000
425 LAKE SIMCOE CR SE,LKB,LAKE BONAVISTA,RE,Residential,1979,LI,50.9333155,-114.060406,654.0,7040.0,1250000
52 BERMONDSEY RD NW,BED,BEDDINGTON HEIGHTS,RE,Residential,1980,LI,51.1274933,-114.0887523,285.9,3077.0,460000
1650 210 AV SE,WAL,WALDEN,RE,Residential,2018,LI,50.8636989,-114.0244167,1158.7,12473.0,394500
17 7900 SILVER SPRINGS RD NW,SIL,SILVER SPRINGS,RE,Residential,1980,LI,51.1105837,-114.200055,9307.8,100188.0,435000
135 41 AV NW,HPK,HIGHLAND PARK,RE,Residential,1955,LI,51.0895477,-114.0643686,557.0,5996.0,628000
303 28 AUBURN BAY LI SE,AUB,AUBURN BAY,RE,Residential,2013,LI,50.8847893,-113.9517829,5180.2,55761.0,385000
1115 38 AV SW,EPK,ELBOW PARK,RE,Residential,1952,LI,51.0200328,-114.0886869,811.8,8738.0,1530000
12 AUBURN SOUND TC SE,AUB,AUBURN BAY,RE,Residential,2005,LI,50.8868226,-113.9636824,532.5,5732.0,977500
438V 365 SAGE VALLEY CM NW,SGH,SAGE HILL,RE,Residential,2019,LI,51.1819445,-114.1576343,4545.7,48932.0,10000
24 STRATHCONA CR SW,STR,STRATHCONA PARK,RE,Residential,1981,LI,51.0488125,-114.1659632,245.7,2644.0,495500
83 FREDSON DR SE,FAI,FAIRVIEW,RE,Residential,1959,LI,50.9821035,-114.0550483,576.0,6200.0,673000
27 DOUGLAS GLEN PL SE,DDG,DOUGLASDALE/GLEN,RE,Residential,1994,LI,50.9517894,-114.0079952,382.0,4112.0,671000
2218 35 ST SE,SOV,SOUTHVIEW,RE,Residential,1959,LI,51.0339438,-113.9824047,535.4,5763.0,497500
129 123 QUEENSLAND DR SE,QLD,QUEENSLAND,RE,Residential,1977,LI,50.9331787,-114.0320701,50770.0,546483.0,346500
88 BOWDALE CR NW,BOW,BOWNESS,RE,Residential,1973,LI,51.0761448,-114.1819764,3967.0,42702.0,1130000
308 836 ROYAL AV SW,LMR,LOWER MOUNT ROYAL,RE,Residential,2011,LI,51.0356167,-114.0808304,1726.7,18586.0,478000
115 SETON GD SE,SET,SETON,RE,Residential,2019,LI,50.866357,-113.9557384,273.3,2942.0,725500
203 CHRISTIE PARK VW SW,CHR,CHRISTIE PARK,RE,Residential,1993,LI,51.0393391,-114.1802833,609.4,6560.0,1140000
3210 825 8 AV SW,DNC,DOWNTOWN COMMERCIAL CORE,RE,Residential,1971,LI,51.0459232,-114.0800309,2006.5,21598.0,174500
240 LUCAS CR NW,LIV,LIVINGSTON,RE,Residential,2019,LI,51.1849607,-114.0792532,538.1,5792.0,977000
185V 1727 54 ST SE,PEN,PENBROOKE MEADOWS,RE,Residential,2007,LI,51.0380428,-113.9565939,4440.0,47793.0,10000
1003 39 HIDDEN CREEK PL NW,HID,HIDDEN VALLEY,RE,Residential,1999,LI,51.1563611,-114.1056889,5711.0,61473.0,399000
29 MARTHA'S MEADOW PL NE,MRT,MARTINDALE,RE,Residential,2000,LI,51.1239802,-113.9658492,343.0,3692.0,675500
1601 3500 VARSITY DR NW,VAR,VARSITY,RE,Residential,1976,LI,51.0885181,-114.1395245,65652.9,706681.0,380500
11 HIDDEN CREEK GR NW,HID,HIDDEN VALLEY,RE,Residential,1998,LI,51.1545719,-114.1036332,448.1,4823.0,883500
43 RIVERGLEN RD SE,RIV,RIVERBEND,RE,Residential,1989,LI,50.9736449,-114.0117146,366.4,3944.0,574500
54 ARBOUR WOOD CR NW,ARB,ARBOUR LAKE,RE,Residential,1996,LI,51.1312767,-114.2068693,389.1,4188.0,660500
7772 SPRINGBANK WY SW,SPH,SPRINGBANK HILL,RE,Residential,2000,LI,51.0210151,-114.1982166,502.3,5407.0,842500
